---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
Form(''KORAK''), HasIPA(0), Usage(450 )
Form(''THEE''), HasIPA(1), Usage(281 )
Form(''LAMA''), HasIPA(1), Usage(405 )
Form(''SAHIB''), HasIPA(0), Usage(222 )
Form(''MAHBUB''), HasIPA(0), Usage(235 )
Form(''MARGARET''), HasIPA(1), Usage(318 )
Form(''BILLY''), HasIPA(1), Usage(383 )
Form(''EDITH''), HasIPA(1), Usage(212 )
------------------ 
Form(''WISH''), HasIPA(1), Usage(117 )
Form(''CAPTAIN''), HasIPA(1), Usage(145 )
Form(''PERSON''), HasIPA(1), Usage(121 )
Form(''BOARD''), HasIPA(1), Usage(106 )
Form(''NATURAL''), HasIPA(1), Usage(123 )
Form(''HOPE''), HasIPA(1), Usage(135 )
Form(''INTEREST''), HasIPA(1), Usage(105 )
Form(''ORDER''), HasIPA(1), Usage(163 )
Form(''REMEMBER''), HasIPA(1), Usage(151 )
Form(''ACCOUNT''), HasIPA(1), Usage(166 )
Form(''LIVING''), HasIPA(1), Usage(188 )
Form(''FISH''), HasIPA(1), Usage(118 )
Form(''HABITS''), HasIPA(1), Usage(103 )
Form(''THOUSAND''), HasIPA(1), Usage(183 )
Form(''TOWARDS''), HasIPA(1), Usage(101 )
Form(''FOLLOW''), HasIPA(1), Usage(116 )
Form(''PLANTS''), HasIPA(1), Usage(128 )
Form(''SOUTHERN''), HasIPA(1), Usage(107 )
Form(''ARCHIPELAGO''), HasIPA(1), Usage(102 )
Form(''SUBJECT''), HasIPA(1), Usage(105 )
Form(''CHIEF''), HasIPA(1), Usage(109 )
Form(''MEANS''), HasIPA(1), Usage(158 )
Form(''FRIEND''), HasIPA(1), Usage(171 )
Form(''ATTENTION''), HasIPA(1), Usage(132 )
Form(''ST''), HasIPA(1), Usage(166 )
Form(''DE''), HasIPA(1), Usage(153 )
Form(''DUST''), HasIPA(1), Usage(110 )
Form(''ROCKS''), HasIPA(1), Usage(102 )
Form(''HEAVY''), HasIPA(1), Usage(189 )
Form(''OBJECT''), HasIPA(1), Usage(135 )
Form(''DEL''), HasIPA(1), Usage(112 )
Form(''FUEGO''), HasIPA(0), Usage(103 )
Form(''KING''), HasIPA(1), Usage(144 )
Form(''CHILE''), HasIPA(1), Usage(124 )
Form(''CARRY''), HasIPA(1), Usage(100 )
Form(''SUN''), HasIPA(1), Usage(194 )
Form(''SUDDENLY''), HasIPA(1), Usage(167 )
Form(''PAST''), HasIPA(1), Usage(167 )
Form(''SOIL''), HasIPA(1), Usage(125 )
Form(''VEGETATION''), HasIPA(1), Usage(118 )
Form(''TABLE''), HasIPA(1), Usage(137 )
Form(''MOUNTAINS''), HasIPA(1), Usage(193 )
Form(''CLIMATE''), HasIPA(1), Usage(106 )
Form(''INDEED''), HasIPA(1), Usage(147 )
Form(''FRESH''), HasIPA(1), Usage(137 )
Form(''GENERALLY''), HasIPA(1), Usage(177 )
Form(''CONSIDERED''), HasIPA(1), Usage(109 )
Form(''SCARCELY''), HasIPA(1), Usage(143 )
Form(''DISCOVERED''), HasIPA(1), Usage(107 )
Form(''WIDE''), HasIPA(1), Usage(176 )
Form(''PLAINS''), HasIPA(1), Usage(158 )
Form(''FALL''), HasIPA(1), Usage(148 )
Form(''IMMEDIATELY''), HasIPA(1), Usage(109 )
Form(''FORMED''), HasIPA(1), Usage(148 )
Form(''BROAD''), HasIPA(1), Usage(142 )
Form(''BUSHES''), HasIPA(1), Usage(104 )
Form(''BRANCHES''), HasIPA(1), Usage(115 )
Form(''VALLEY''), HasIPA(1), Usage(188 )
Form(''DIFFERENCE''), HasIPA(1), Usage(108 )
Form(''BROWN''), HasIPA(1), Usage(137 )
Form(''APPEARANCE''), HasIPA(1), Usage(178 )
Form(''FILLED''), HasIPA(1), Usage(156 )
Form(''RETURNED''), HasIPA(1), Usage(165 )
Form(''EAT''), HasIPA(1), Usage(167 )
Form(''CHILDREN''), HasIPA(1), Usage(169 )
Form(''FOLLOWED''), HasIPA(1), Usage(193 )
Form(''APPEAR''), HasIPA(1), Usage(162 )
Form(''FORTH''), HasIPA(1), Usage(139 )
Form(''PRIEST''), HasIPA(1), Usage(117 )
Form(''COLOUR''), HasIPA(0), Usage(122 )
Form(''MANNER''), HasIPA(1), Usage(199 )
Form(''DIRECTION''), HasIPA(1), Usage(162 )
Form(''FORCE''), HasIPA(1), Usage(102 )
Form(''GLAD''), HasIPA(1), Usage(117 )
Form(''PRETTY''), HasIPA(1), Usage(101 )
Form(''STREAM''), HasIPA(1), Usage(140 )
Form(''APPEARED''), HasIPA(1), Usage(177 )
Form(''INHABITANTS''), HasIPA(1), Usage(199 )
Form(''RUNNING''), HasIPA(1), Usage(112 )
Form(''BEAUTY''), HasIPA(1), Usage(107 )
Form(''CHARACTER''), HasIPA(1), Usage(141 )
Form(''REST''), HasIPA(1), Usage(186 )
Form(''BOTTOM''), HasIPA(1), Usage(134 )
Form(''BRIGHT''), HasIPA(1), Usage(128 )
Form(''CLEAR''), HasIPA(1), Usage(125 )
Form(''PARTY''), HasIPA(1), Usage(160 )
Form(''PATH''), HasIPA(1), Usage(115 )
Form(''LEGS''), HasIPA(1), Usage(126 )
Form(''DISTANT''), HasIPA(1), Usage(155 )
Form(''BANK''), HasIPA(1), Usage(115 )
Form(''BLUE''), HasIPA(1), Usage(158 )
Form(''SIMILAR''), HasIPA(1), Usage(118 )
Form(''ENGLAND''), HasIPA(1), Usage(167 )
Form(''DEGS''), HasIPA(0), Usage(129 )
Form(''OBSERVED''), HasIPA(1), Usage(112 )
Form(''REMARKABLE''), HasIPA(1), Usage(143 )
Form(''WEATHER''), HasIPA(1), Usage(104 )
Form(''FELL''), HasIPA(1), Usage(188 )
Form(''MONTHS''), HasIPA(1), Usage(109 )
Form(''COMES''), HasIPA(1), Usage(182 )
Form(''STONE''), HasIPA(1), Usage(110 )
Form(''NEED''), HasIPA(1), Usage(185 )
Form(''INTERESTING''), HasIPA(1), Usage(125 )
Form(''PERFECTLY''), HasIPA(1), Usage(101 )
Form(''HEIGHT''), HasIPA(1), Usage(152 )
Form(''NUMEROUS''), HasIPA(1), Usage(118 )
Form(''SHELLS''), HasIPA(1), Usage(160 )
Form(''ENTERED''), HasIPA(1), Usage(149 )
Form(''CAUGHT''), HasIPA(1), Usage(177 )
Form(''ACTIVITY''), HasIPA(1), Usage(129 )
Form(''LINES''), HasIPA(1), Usage(104 )
Form(''STAY''), HasIPA(1), Usage(101 )
Form(''FOOT''), HasIPA(1), Usage(184 )
Form(''APPEARS''), HasIPA(1), Usage(142 )
Form(''GROW''), HasIPA(1), Usage(105 )
Form(''STONES''), HasIPA(1), Usage(121 )
Form(''SPACE''), HasIPA(1), Usage(107 )
Form(''NARROW''), HasIPA(1), Usage(109 )
Form(''INSTANT''), HasIPA(1), Usage(120 )
Form(''POWER''), HasIPA(1), Usage(155 )
Form(''PASS''), HasIPA(1), Usage(156 )
Form(''PLACED''), HasIPA(1), Usage(109 )
Form(''MINUTE''), HasIPA(1), Usage(102 )
Form(''YELLOW''), HasIPA(1), Usage(137 )
Form(''FORMER''), HasIPA(1), Usage(113 )
Form(''LATTER''), HasIPA(1), Usage(133 )
Form(''SKIN''), HasIPA(1), Usage(104 )
Form(''USED''), HasIPA(1), Usage(186 )
Form(''TRAIN''), HasIPA(1), Usage(109 )
Form(''LED''), HasIPA(1), Usage(143 )
Form(''DOUBT''), HasIPA(1), Usage(176 )
Form(''CERTAINLY''), HasIPA(1), Usage(122 )
Form(''KEPT''), HasIPA(1), Usage(172 )
Form(''WEST''), HasIPA(1), Usage(134 )
Form(''LEVEL''), HasIPA(1), Usage(154 )
Form(''OCEAN''), HasIPA(1), Usage(102 )
Form(''ROCK''), HasIPA(1), Usage(156 )
Form(''THIN''), HasIPA(1), Usage(110 )
Form(''INDIAN''), HasIPA(1), Usage(162 )
Form(''LAW''), HasIPA(1), Usage(119 )
Form(''ACTION''), HasIPA(1), Usage(129 )
Form(''STAND''), HasIPA(1), Usage(160 )
Form(''UNITED''), HasIPA(1), Usage(140 )
Form(''RAIN''), HasIPA(1), Usage(176 )
Form(''BELOW''), HasIPA(1), Usage(100 )
Form(''FAMILY''), HasIPA(1), Usage(141 )
Form(''SAND''), HasIPA(1), Usage(144 )
Form(''BAD''), HasIPA(1), Usage(127 )
Form(''KILLED''), HasIPA(1), Usage(133 )
Form(''MAKES''), HasIPA(1), Usage(120 )
Form(''SUPPOSE''), HasIPA(1), Usage(121 )
Form(''QUICKLY''), HasIPA(1), Usage(124 )
Form(''FOLLOWING''), HasIPA(1), Usage(137 )
Form(''MOTH''), HasIPA(1), Usage(103 )
Form(''FEAR''), HasIPA(1), Usage(155 )
Form(''GREATER''), HasIPA(1), Usage(186 )
Form(''HOURS''), HasIPA(1), Usage(163 )
Form(''HILL''), HasIPA(1), Usage(163 )
Form(''FIGURE''), HasIPA(1), Usage(127 )
Form(''WOOD''), HasIPA(1), Usage(193 )
Form(''MOUNTAIN''), HasIPA(1), Usage(115 )
Form(''FOREST''), HasIPA(1), Usage(195 )
Form(''SOUND''), HasIPA(1), Usage(191 )
Form(''SILENCE''), HasIPA(1), Usage(130 )
Form(''THICK''), HasIPA(1), Usage(123 )
Form(''LENGTH''), HasIPA(1), Usage(134 )
Form(''CURIOUS''), HasIPA(1), Usage(152 )
Form(''INDIANS''), HasIPA(1), Usage(181 )
Form(''SEEMS''), HasIPA(1), Usage(190 )
Form(''IDEA''), HasIPA(1), Usage(148 )
Form(''SLOWLY''), HasIPA(1), Usage(178 )
Form(''ANSWER''), HasIPA(1), Usage(119 )
Form(''REALLY''), HasIPA(1), Usage(137 )
Form(''SEEM''), HasIPA(1), Usage(127 )
Form(''REASON''), HasIPA(1), Usage(141 )
Form(''MOUTH''), HasIPA(1), Usage(123 )
Form(''THEREFORE''), HasIPA(1), Usage(143 )
Form(''POSITION''), HasIPA(1), Usage(107 )
Form(''FORWARD''), HasIPA(1), Usage(109 )
Form(''STRAIGHT''), HasIPA(1), Usage(134 )
Form(''TURN''), HasIPA(1), Usage(133 )
Form(''PAPER''), HasIPA(1), Usage(120 )
Form(''USE''), HasIPA(1), Usage(189 )
Form(''SIDES''), HasIPA(1), Usage(117 )
Form(''SOFT''), HasIPA(1), Usage(116 )
Form(''SAVAGE''), HasIPA(1), Usage(156 )
Form(''EYE''), HasIPA(1), Usage(138 )
Form(''PERFECT''), HasIPA(1), Usage(122 )
Form(''CARE''), HasIPA(1), Usage(167 )
Form(''FIELD''), HasIPA(1), Usage(155 )
Form(''SIZE''), HasIPA(1), Usage(107 )
Form(''LONGER''), HasIPA(1), Usage(119 )
Form(''CALL''), HasIPA(1), Usage(188 )
Form(''SPOT''), HasIPA(1), Usage(112 )
Form(''GERMAN''), HasIPA(1), Usage(152 )
Form(''SOCIETY''), HasIPA(1), Usage(101 )
Form(''P''), HasIPA(1), Usage(184 )
Form(''STRONG''), HasIPA(1), Usage(190 )
Form(''VOL''), HasIPA(0), Usage(128 )
Form(''TOM''), HasIPA(1), Usage(143 )
Form(''CAUSE''), HasIPA(1), Usage(129 )
Form(''HOT''), HasIPA(1), Usage(111 )
Form(''SKY''), HasIPA(1), Usage(124 )
Form(''ROSE''), HasIPA(1), Usage(131 )
Form(''EARLY''), HasIPA(1), Usage(135 )
Form(''CRY''), HasIPA(1), Usage(107 )
Form(''SALT''), HasIPA(1), Usage(106 )
Form(''HOUSES''), HasIPA(1), Usage(163 )
Form(''BUILT''), HasIPA(1), Usage(100 )
Form(''FRONT''), HasIPA(1), Usage(138 )
Form(''SLEEP''), HasIPA(1), Usage(147 )
Form(''ASK''), HasIPA(1), Usage(144 )
Form(''WAITING''), HasIPA(1), Usage(103 )
Form(''KILL''), HasIPA(1), Usage(113 )
Form(''READY''), HasIPA(1), Usage(157 )
Form(''FURTHER''), HasIPA(1), Usage(110 )
Form(''ANSWERED''), HasIPA(1), Usage(141 )
Form(''NOTE''), HasIPA(1), Usage(135 )
Form(''BOOK''), HasIPA(1), Usage(172 )
Form(''STRUCK''), HasIPA(1), Usage(123 )
Form(''BLOOD''), HasIPA(1), Usage(112 )
Form(''LATE''), HasIPA(1), Usage(141 )
Form(''SITTING''), HasIPA(1), Usage(111 )
Form(''WALL''), HasIPA(1), Usage(104 )
Form(''EIGHT''), HasIPA(1), Usage(107 )
Form(''LEAVES''), HasIPA(1), Usage(181 )
Form(''AGO''), HasIPA(1), Usage(126 )
Form(''CATTLE''), HasIPA(1), Usage(138 )
Form(''EXPECTED''), HasIPA(1), Usage(100 )
Form(''ELSE''), HasIPA(1), Usage(165 )
Form(''BROKEN''), HasIPA(1), Usage(158 )
Form(''RAISED''), HasIPA(1), Usage(118 )
Form(''HAPPY''), HasIPA(1), Usage(119 )
Form(''LIVES''), HasIPA(1), Usage(149 )
Form(''WEEK''), HasIPA(1), Usage(113 )
Form(''PIECE''), HasIPA(1), Usage(123 )
Form(''NECESSARY''), HasIPA(1), Usage(124 )
Form(''CUT''), HasIPA(1), Usage(192 )
Form(''COLD''), HasIPA(1), Usage(167 )
Form(''FEELING''), HasIPA(1), Usage(128 )
Form(''TALKED''), HasIPA(1), Usage(173 )
Form(''DROPPED''), HasIPA(1), Usage(125 )
Form(''AFRAID''), HasIPA(1), Usage(131 )
Form(''POSSIBLE''), HasIPA(1), Usage(153 )
Form(''WONDER''), HasIPA(1), Usage(113 )
Form(''HUMAN''), HasIPA(1), Usage(150 )
Form(''WALK''), HasIPA(1), Usage(198 )
Form(''CARRIED''), HasIPA(1), Usage(162 )
Form(''BOYS''), HasIPA(1), Usage(150 )
Form(''ART''), HasIPA(1), Usage(154 )
Form(''PLAY''), HasIPA(1), Usage(119 )
Form(''DEATH''), HasIPA(1), Usage(166 )
Form(''TRUTH''), HasIPA(1), Usage(195 )
Form(''REAL''), HasIPA(1), Usage(159 )
Form(''NEITHER''), HasIPA(1), Usage(118 )
Form(''NORTHERN''), HasIPA(1), Usage(106 )
Form(''MEAN''), HasIPA(1), Usage(165 )
Form(''SIX''), HasIPA(1), Usage(180 )
Form(''SIT''), HasIPA(1), Usage(108 )
Form(''GRASS''), HasIPA(1), Usage(154 )
Form(''NECK''), HasIPA(1), Usage(116 )
Form(''SPRING''), HasIPA(1), Usage(182 )
Form(''MOVED''), HasIPA(1), Usage(100 )
Form(''EDGE''), HasIPA(1), Usage(132 )
Form(''READ''), HasIPA(1), Usage(194 )
Form(''LAID''), HasIPA(1), Usage(118 )
Form(''BEAR''), HasIPA(1), Usage(104 )
Form(''STARTED''), HasIPA(1), Usage(128 )
Form(''WINGS''), HasIPA(1), Usage(103 )
Form(''MOTHS''), HasIPA(1), Usage(126 )
Form(''LEAVE''), HasIPA(1), Usage(143 )
Form(''STRENGTH''), HasIPA(1), Usage(102 )
Form(''STOPPED''), HasIPA(1), Usage(163 )
Form(''OPENED''), HasIPA(1), Usage(114 )
Form(''STANDING''), HasIPA(1), Usage(138 )
Form(''HAT''), HasIPA(1), Usage(102 )
Form(''CORDILLERA''), HasIPA(0), Usage(114 )
Form(''SORT''), HasIPA(1), Usage(143 )
Form(''TALL''), HasIPA(1), Usage(129 )
Form(''STRANGE''), HasIPA(1), Usage(171 )
Form(''ARM''), HasIPA(1), Usage(113 )
Form(''DARKNESS''), HasIPA(1), Usage(167 )
Form(''QUIET''), HasIPA(1), Usage(105 )
Form(''STREETS''), HasIPA(1), Usage(106 )
Form(''BUSINESS''), HasIPA(1), Usage(114 )
Form(''SHOW''), HasIPA(1), Usage(176 )
Form(''MET''), HasIPA(1), Usage(155 )
Form(''HAIR''), HasIPA(1), Usage(198 )
Form(''QUESTION''), HasIPA(1), Usage(149 )
Form(''BEYOND''), HasIPA(1), Usage(178 )
Form(''FLOOR''), HasIPA(1), Usage(136 )
Form(''CORNER''), HasIPA(1), Usage(109 )
Form(''PURPOSE''), HasIPA(1), Usage(106 )
Form(''MAIN''), HasIPA(1), Usage(125 )
Form(''LEARN''), HasIPA(1), Usage(104 )
Form(''FREE''), HasIPA(1), Usage(159 )
Form(''DESIRE''), HasIPA(1), Usage(132 )
Form(''PRESENCE''), HasIPA(1), Usage(122 )
Form(''RESPECT''), HasIPA(1), Usage(106 )
Form(''PERIOD''), HasIPA(1), Usage(105 )
Form(''ONES''), HasIPA(1), Usage(124 )
Form(''WORTH''), HasIPA(1), Usage(112 )
Form(''DOG''), HasIPA(1), Usage(117 )
Form(''AMERICAN''), HasIPA(1), Usage(192 )
Form(''FRIENDS''), HasIPA(1), Usage(158 )
Form(''EXCEPT''), HasIPA(1), Usage(122 )
Form(''EARS''), HasIPA(1), Usage(106 )
Form(''PICTURE''), HasIPA(1), Usage(139 )
Form(''STATES''), HasIPA(1), Usage(149 )
Form(''WAIT''), HasIPA(1), Usage(129 )
Form(''ALREADY''), HasIPA(1), Usage(162 )
Form(''GERMANY''), HasIPA(1), Usage(154 )
Form(''GOVERNMENT''), HasIPA(1), Usage(165 )
Form(''HOLD''), HasIPA(1), Usage(139 )
Form(''PURE''), HasIPA(1), Usage(123 )
Form(''CLOTHES''), HasIPA(1), Usage(150 )
Form(''DRESS''), HasIPA(1), Usage(153 )
Form(''SEARCH''), HasIPA(1), Usage(134 )
Form(''WARM''), HasIPA(1), Usage(104 )
Form(''MERELY''), HasIPA(1), Usage(148 )
Form(''SWAMP''), HasIPA(1), Usage(110 )
Form(''LETTER''), HasIPA(1), Usage(114 )
Form(''BUY''), HasIPA(1), Usage(102 )
Form(''AROSE''), HasIPA(1), Usage(117 )
Form(''PAY''), HasIPA(1), Usage(166 )
Form(''BRING''), HasIPA(1), Usage(132 )
Form(''SPOKE''), HasIPA(1), Usage(128 )
Form(''MUSIC''), HasIPA(1), Usage(104 )
Form(''TENT''), HasIPA(1), Usage(124 )
Form(''PHYSICAL''), HasIPA(1), Usage(100 )
Form(''MEET''), HasIPA(1), Usage(122 )
Form(''WIFE''), HasIPA(1), Usage(135 )
Form(''MAN'S''), HasIPA(1), Usage(139 )
Form(''BOAT''), HasIPA(1), Usage(119 )
Form(''LATER''), HasIPA(1), Usage(197 )
Form(''BEAST''), HasIPA(1), Usage(140 )
Form(''BULL''), HasIPA(1), Usage(136 )
Form(''SPEAK''), HasIPA(1), Usage(166 )
Form(''ICE''), HasIPA(1), Usage(156 )
Form(''EXPLAINED''), HasIPA(1), Usage(100 )
Form(''RELATIONS''), HasIPA(1), Usage(128 )
Form(''HELP''), HasIPA(1), Usage(198 )
Form(''DREW''), HasIPA(1), Usage(140 )
Form(''AFTERNOON''), HasIPA(1), Usage(122 )
Form(''SEND''), HasIPA(1), Usage(100 )
Form(''SELF''), HasIPA(1), Usage(118 )
Form(''SENSE''), HasIPA(1), Usage(178 )
Form(''NATIVES''), HasIPA(1), Usage(108 )
Form(''NATIVE''), HasIPA(1), Usage(124 )
Form(''MASTER''), HasIPA(1), Usage(104 )
Form(''FIELDS''), HasIPA(1), Usage(146 )
Form(''LEARNED''), HasIPA(1), Usage(110 )
Form(''LIPS''), HasIPA(1), Usage(139 )
Form(''WORKED''), HasIPA(1), Usage(113 )
Form(''REPLIED''), HasIPA(1), Usage(145 )
Form(''FARM''), HasIPA(1), Usage(147 )
Form(''GREW''), HasIPA(1), Usage(112 )
Form(''BREATH''), HasIPA(1), Usage(109 )
Form(''BOX''), HasIPA(1), Usage(175 )
Form(''KNOWLEDGE''), HasIPA(1), Usage(110 )
Form(''SOUL''), HasIPA(1), Usage(153 )
Form(''SHOOK''), HasIPA(1), Usage(107 )
Form(''VON''), HasIPA(1), Usage(113 )
Form(''COLONEL''), HasIPA(1), Usage(107 )
Form(''DEAR''), HasIPA(1), Usage(101 )
Form(''FINGERS''), HasIPA(1), Usage(120 )
Form(''HOLY''), HasIPA(1), Usage(167 )
Form(''EXPERIENCES''), HasIPA(1), Usage(132 )
Form(''THOUGHTS''), HasIPA(1), Usage(162 )
Form(''WON'T''), HasIPA(1), Usage(133 )
Form(''WINDOW''), HasIPA(1), Usage(169 )
Form(''WILLARD''), HasIPA(1), Usage(197 )
Form(''LOVED''), HasIPA(1), Usage(119 )
Form(''STORE''), HasIPA(1), Usage(103 )
Form(''SHOULDER''), HasIPA(1), Usage(122 )
Form(''I'VE''), HasIPA(0), Usage(148 )
Form(''WHISPERED''), HasIPA(1), Usage(113 )
Form(''HENDERSON''), HasIPA(1), Usage(120 )
Form(''I'M''), HasIPA(0), Usage(172 )
Form(''SHEIK''), HasIPA(1), Usage(132 )
Form(''AKUT''), HasIPA(0), Usage(152 )
Form(''CAMP''), HasIPA(1), Usage(123 )
Form(''MALBIHN''), HasIPA(0), Usage(133 )
Form(''HON''), HasIPA(1), Usage(111 )
Form(''MORISON''), HasIPA(1), Usage(121 )
Form(''BAYNES''), HasIPA(1), Usage(169 )
Form(''ALI''), HasIPA(1), Usage(114 )
Form(''SINTON''), HasIPA(1), Usage(164 )
Form(''AMMON''), HasIPA(1), Usage(117 )
Form(''CARR''), HasIPA(1), Usage(129 )
------------------ 
Form(''VOYAGE''), HasIPA(1), Usage(87 )
Form(''BEAGLE''), HasIPA(1), Usage(87 )
Form(''CONSEQUENCE''), HasIPA(1), Usage(63 )
Form(''FITZ''), HasIPA(1), Usage(58 )
Form(''ROY''), HasIPA(1), Usage(55 )
Form(''OFFER''), HasIPA(1), Usage(63 )
Form(''RECEIVED''), HasIPA(1), Usage(70 )
Form(''HISTORY''), HasIPA(1), Usage(93 )
Form(''COUNTRIES''), HasIPA(1), Usage(90 )
Form(''VISITED''), HasIPA(1), Usage(53 )
Form(''WHOLLY''), HasIPA(1), Usage(50 )
Form(''DUE''), HasIPA(1), Usage(52 )
Form(''EXPRESSION''), HasIPA(1), Usage(90 )
Form(''OFFICERS''), HasIPA(1), Usage(61 )
Form(''ADDED''), HasIPA(1), Usage(69 )
Form(''READING''), HasIPA(1), Usage(62 )
Form(''LARGER''), HasIPA(1), Usage(85 )
Form(''PROFESSOR''), HasIPA(1), Usage(74 )
Form(''BELL''), HasIPA(1), Usage(52 )
Form(''RANGE''), HasIPA(1), Usage(68 )
Form(''WORKS''), HasIPA(1), Usage(54 )
Form(''DISTINGUISHED''), HasIPA(1), Usage(52 )
Form(''PLEASED''), HasIPA(1), Usage(58 )
Form(''POUNDS''), HasIPA(1), Usage(50 )
Form(''SEPARATE''), HasIPA(1), Usage(54 )
Form(''CORAL''), HasIPA(1), Usage(71 )
Form(''REEFS''), HasIPA(1), Usage(78 )
Form(''INSECTS''), HasIPA(1), Usage(89 )
Form(''DR''), HasIPA(1), Usage(80 )
Form(''M''), HasIPA(1), Usage(90 )
Form(''DESCRIBED''), HasIPA(1), Usage(87 )
Form(''PLEASURE''), HasIPA(1), Usage(62 )
Form(''ALLOWED''), HasIPA(1), Usage(50 )
Form(''TASTE''), HasIPA(1), Usage(70 )
Form(''ABSENCE''), HasIPA(1), Usage(50 )
Form(''CHARGE''), HasIPA(1), Usage(73 )
Form(''JUNE''), HasIPA(1), Usage(60 )
Form(''OPPORTUNITY''), HasIPA(1), Usage(55 )
Form(''RETURNING''), HasIPA(1), Usage(56 )
Form(''ILL''), HasIPA(1), Usage(77 )
Form(''CHAPTER''), HasIPA(1), Usage(90 )
Form(''CAPE''), HasIPA(1), Usage(72 )
Form(''SINGULAR''), HasIPA(1), Usage(64 )
Form(''TWICE''), HasIPA(1), Usage(73 )
Form(''DRIVEN''), HasIPA(1), Usage(80 )
Form(''SHIP''), HasIPA(1), Usage(89 )
Form(''COMPLETE''), HasIPA(1), Usage(64 )
Form(''PATAGONIA''), HasIPA(1), Usage(96 )
Form(''TIERRA''), HasIPA(0), Usage(90 )
Form(''COMMENCED''), HasIPA(1), Usage(52 )
Form(''SHORES''), HasIPA(1), Usage(67 )
Form(''PACIFIC''), HasIPA(1), Usage(67 )
Form(''CHAIN''), HasIPA(1), Usage(59 )
Form(''RISE''), HasIPA(1), Usage(80 )
Form(''GRAND''), HasIPA(1), Usage(79 )
Form(''WHILST''), HasIPA(1), Usage(55 )
Form(''CLOUDS''), HasIPA(1), Usage(85 )
Form(''FORGOTTEN''), HasIPA(1), Usage(77 )
Form(''NEIGHBOURHOOD''), HasIPA(0), Usage(51 )
Form(''AGE''), HasIPA(1), Usage(88 )
Form(''HEAT''), HasIPA(1), Usage(75 )
Form(''STEPS''), HasIPA(1), Usage(62 )
Form(''LOFTY''), HasIPA(1), Usage(65 )
Form(''SCENE''), HasIPA(1), Usage(99 )
Form(''ATMOSPHERE''), HasIPA(1), Usage(76 )
Form(''LEAF''), HasIPA(1), Usage(60 )
Form(''EXIST''), HasIPA(1), Usage(65 )
Form(''ENTIRE''), HasIPA(1), Usage(60 )
Form(''CAUSED''), HasIPA(1), Usage(61 )
Form(''FLAT''), HasIPA(1), Usage(73 )
Form(''VALLEYS''), HasIPA(1), Usage(93 )
Form(''SERVE''), HasIPA(1), Usage(50 )
Form(''SEASON''), HasIPA(1), Usage(87 )
Form(''CREATURES''), HasIPA(1), Usage(52 )
Form(''PLANT''), HasIPA(1), Usage(63 )
Form(''COLOURED''), HasIPA(1), Usage(81 )
Form(''EUROPEAN''), HasIPA(1), Usage(51 )
Form(''FLIGHT''), HasIPA(1), Usage(61 )
Form(''RODE''), HasIPA(1), Usage(86 )
Form(''USUAL''), HasIPA(1), Usage(77 )
Form(''ARRIVED''), HasIPA(1), Usage(95 )
Form(''SURPRISED''), HasIPA(1), Usage(92 )
Form(''HARBOUR''), HasIPA(1), Usage(55 )
Form(''GUIDE''), HasIPA(1), Usage(62 )
Form(''COLLECTION''), HasIPA(1), Usage(50 )
Form(''ANCIENT''), HasIPA(1), Usage(64 )
Form(''CHURCH''), HasIPA(1), Usage(65 )
Form(''BURIED''), HasIPA(1), Usage(61 )
Form(''EUROPE''), HasIPA(1), Usage(82 )
Form(''GROWING''), HasIPA(1), Usage(92 )
Form(''DOZEN''), HasIPA(1), Usage(78 )
Form(''CONSIDERABLE''), HasIPA(1), Usage(81 )
Form(''WATCH''), HasIPA(1), Usage(91 )
Form(''LEAVING''), HasIPA(1), Usage(88 )
Form(''RICH''), HasIPA(1), Usage(75 )
Form(''SMALLER''), HasIPA(1), Usage(72 )
Form(''FAST''), HasIPA(1), Usage(71 )
Form(''SITUATED''), HasIPA(1), Usage(66 )
Form(''CENTRE''), HasIPA(1), Usage(54 )
Form(''CROSSED''), HasIPA(1), Usage(99 )
Form(''BENT''), HasIPA(1), Usage(69 )
Form(''TRADE''), HasIPA(1), Usage(65 )
Form(''EXACTLY''), HasIPA(1), Usage(51 )
Form(''E''), HasIPA(1), Usage(55 )
Form(''S''), HasIPA(1), Usage(79 )
Form(''W''), HasIPA(1), Usage(55 )
Form(''TRACK''), HasIPA(1), Usage(53 )
Form(''EXCEPTING''), HasIPA(1), Usage(56 )
Form(''OUGHT''), HasIPA(1), Usage(65 )
Form(''COMPLETELY''), HasIPA(1), Usage(57 )
Form(''NAKED''), HasIPA(1), Usage(90 )
Form(''CARRYING''), HasIPA(1), Usage(64 )
Form(''BODIES''), HasIPA(1), Usage(85 )
Form(''FIFTY''), HasIPA(1), Usage(79 )
Form(''APPROACHED''), HasIPA(1), Usage(73 )
Form(''HEADS''), HasIPA(1), Usage(92 )
Form(''WING''), HasIPA(1), Usage(69 )
Form(''SCENERY''), HasIPA(1), Usage(61 )
Form(''WALLS''), HasIPA(1), Usage(63 )
Form(''AFFORD''), HasIPA(1), Usage(52 )
Form(''STRIKING''), HasIPA(1), Usage(53 )
Form(''BANKS''), HasIPA(1), Usage(72 )
Form(''HAPPENED''), HasIPA(1), Usage(96 )
Form(''GIRLS''), HasIPA(1), Usage(86 )
Form(''DRESSED''), HasIPA(1), Usage(70 )
Form(''EXCELLENT''), HasIPA(1), Usage(54 )
